City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
131,fortuna,1,US,1571242282,100,40.6,54.0,10.29,-124.16
132,mombetsu,78,JP,1571242283,62,44.35,50.27,23.94,143.35
133,lodwar,33,KE,1571242283,24,3.12,94.55,13.69,35.6
134,lompoc,1,US,1571242284,87,34.64,70.0,7.78,-120.46
135,houma,5,CN,1571242285,86,35.63,47.39,2.34,111.36
136,trelew,4,AR,1571242285,35,-43.25,60.71,23.29,-65.31
137,asekeyevo,87,RU,1571242286,77,53.57,38.57,7.15,52.8
138,maniitsoq,72,GL,1571242286,48,65.42,36.95,15.87,-52.9
139,sinnamary,44,GF,1571242286,75,5.38,82.85,11.31,-52.96
140,balakhta,91,RU,1571242287,64,55.38,46.13,11.5,91.62
141,obidos,75,PT,1571242288,68,39.36,69.8,16.11,-9.16
142,oussouye,40,SN,1571242291,74,12.49,91.4,4.7,-16.54
143,ixtapa,40,MX,1571242292,70,20.71,87.01,3.06,-105.21
144,half moon bay,75,US,1571242292,81,37.46,57.0,8.58,-122.43
145,rio gallegos,0,AR,1571241731,50,-51.62,57.2,24.16,-69.22
146,galle,100,GN,1571242293,58,10.08,85.91,3.91,-12.83
147,yiyang,100,CN,1571241706,88,28.59,54.59,9.62,112.35
148,salina,1,US,1571242294,65,38.84,50.0,8.05,-97.61
149,dunedin,54,NZ,1571241699,92,-45.87,46.99,1.99,170.5
150,portland,75,US,1571242295,67,43.66,60.01,10.29,-70.25
151,chamba,0,IN,1571242306,72,32.56,61.25,5.94,76.12
152,east london,0,ZA,1571242316,64,-33.02,75.2,9.17,27.91
153,biak,12,ID,1571242316,78,-0.91,81.41,10.48,122.88
154,ypsonas,20,CY,1571242317,65,34.69,82.4,4.7,32.96
155,zyryanka,59,RU,1571242318,94,65.73,8.69,7.37,150.89
156,deer lake,40,CA,1571242318,66,49.18,53.01,14.99,-57.43
157,maldonado,75,UY,1571242319,68,-34.91,64.4,17.22,-54.96
158,nicoya,40,CR,1571242323,74,10.15,84.2,3.36,-85.45
159,port hedland,0,AU,1571242327,88,-20.31,71.6,6.93,118.58
160,chapais,90,CA,1571242327,93,49.78,35.6,4.7,-74.86
161,yenagoa,100,NG,1571242327,86,4.92,80.33,6.1,6.26
162,santiago del estero,100,AR,1571242328,80,-27.8,51.71,2.36,-64.26
163,quatre cocos,75,MU,1571242328,94,-20.21,70.0,16.11,57.76
164,fairbanks,1,US,1571242329,57,64.84,23.0,2.51,-147.72
165,ostrovnoy,100,RU,1571242330,92,68.05,29.39,5.11,39.51
166,zalantun,0,CN,1571242331,53,48.0,41.81,3.18,122.72
167,te anau,61,NZ,1571242331,87,-45.41,45.41,5.6,167.72
168,sarangani,86,PH,1571242332,71,5.4,83.57,4.57,125.46
169,iqaluit,90,CA,1571242333,80,63.75,33.8,3.36,-68.52
170,khatanga,96,RU,1571242334,95,71.98,6.35,3.25,102.47
171,znamenskoye,100,RU,1571242334,86,57.13,40.55,9.08,73.82
172,egvekinot,64,RU,1571242334,95,66.32,21.65,14.72,-179.17
173,jishui,69,CN,1571242335,57,27.23,62.15,7.44,115.13
174,zhigansk,100,RU,1571242335,95,66.77,31.91,25.79,123.37
175,zhicheng,4,CN,1571242335,80,35.04,50.63,1.13,112.59
176,ugoofaaru,93,MV,1571241745,68,5.67,84.11,3.86,73.0
177,yamada,40,JP,1571242336,87,36.58,55.0,3.36,137.08
178,naze,75,NG,1571242336,66,5.43,87.8,6.93,7.07
179,lorengau,0,PG,1571242337,75,-2.02,83.93,8.69,147.27
180,port lincoln,0,AU,1571241741,73,-34.72,49.91,14.64,135.86
181,petropavlovsk-kamchatskiy,20,RU,1571242338,74,53.05,30.2,18.9,158.65
182,bathsheba,75,BB,1571242348,62,13.22,89.6,13.87,-59.52
183,fare,33,PF,1571242348,78,-16.7,79.07,8.64,-151.02
184,semirom,9,IR,1571242348,34,31.41,49.19,6.78,51.57
185,broome,75,GB,1571242349,82,52.47,59.0,6.93,1.45
186,vanimo,100,PG,1571242349,73,-2.67,83.75,7.75,141.3
187,vao,100,EE,1571242350,94,59.1,48.83,5.69,26.19
188,clemson,1,US,1571242350,77,34.69,71.6,10.29,-82.84
189,miandoab,3,IR,1571242351,26,36.97,59.0,4.7,46.1
190,vadso,75,NO,1571242351,73,70.07,32.0,8.05,29.75
